delivery_id,order_id,shipping_address,tracking_number,delivery_status,delivery_date
1,1,"6301 Harris Villages, Alejandrotown, LA 07017",TRACK000001,cancelled,2024-02-27 16:57:59.561041
2,2,"03338 Mccarthy Ferry, Erinmouth, UT 60755",TRACK000002,delivered,2024-06-06 09:28:56.835523
3,3,"299 Moore Lodge, Ingramfort, SC 64982",TRACK000003,in_transit,2024-03-29 13:59:23.758107
4,4,"39751 Fernandez Mount Suite 059, North Thomas, IL 13664",TRACK000004,in_transit,2024-10-04 14:25:38.117836
5,5,"7795 Ronnie Rest, Tylershire, NJ 00895",TRACK000005,processing,2024-03-17 11:08:31.562462
6,6,"36344 Deborah Corners, Ryanmouth, DE 79802",TRACK000006,returned,2023-12-24 22:17:30.812444
7,7,"27528 Joshua Lodge, East Annview, MI 27936",TRACK000007,cancelled,2024-04-22 04:53:39.637279
8,8,"67823 Joanna Way Apt. 000, South Melissa, IA 97948",TRACK000008,cancelled,2024-03-06 20:16:50.144031
9,9,"8778 Moore Tunnel Suite 921, Christinemouth, WA 39590",TRACK000009,delivered,2024-05-29 06:31:00.751783
10,10,"848 Simon Valleys, Marioburgh, PA 39036",TRACK000010,in_transit,2024-06-19 01:20:44.645968
11,11,"88553 Brown Tunnel Apt. 621, Port Crystalberg, WY 42676",TRACK000011,processing,2024-06-15 08:02:19.488489
12,12,"96448 William Ferry Apt. 846, Johnsonhaven, GU 94792",TRACK000012,returned,2023-11-26 07:52:50.150183
13,13,"7164 Christina Plains Suite 733, Stevestad, IN 40680",TRACK000013,processing,2024-07-09 11:07:51.164505
14,14,"4166 Oneal Lodge, Port Tiffanystad, IN 44271",TRACK000014,delivered,2024-06-02 04:10:33.241566
15,15,"2967 Park Motorway Apt. 509, North Kenneth, PR 34024",TRACK000015,in_transit,2023-11-01 05:14:29.509773
16,16,"PSC 8688, Box 7540, APO AE 94798",TRACK000016,delivered,2024-02-06 16:03:35.125445
17,17,"98216 Emily Route, South Laura, VI 52436",TRACK000017,cancelled,2024-08-16 18:34:16.410410
18,18,"95467 Donald Parkway, Ernestport, OR 55972",TRACK000018,in_transit,2024-01-13 03:49:29.502540
19,19,"370 Nicole Oval Apt. 039, Lake Jenniferland, VT 47503",TRACK000019,returned,2024-03-04 21:48:39.740436
20,20,"83653 Angel Rapids, Williamborough, PA 28631",TRACK000020,in_transit,2024-10-01 01:21:42.624433
21,21,"Unit 9766 Box 5141, DPO AP 92118",TRACK000021,processing,2024-03-13 23:47:42.030813
22,22,"249 Garcia Circles, West William, PR 97146",TRACK000022,delivered,2024-05-21 12:02:03.774232
23,23,"PSC 9635, Box 7683, APO AP 97240",TRACK000023,in_transit,2024-04-07 03:22:19.768508
24,24,"PSC 7727, Box 6937, APO AP 86767",TRACK000024,cancelled,2024-02-18 13:51:21.570650
25,25,"5732 Clements Squares Apt. 240, Lake Nancy, KY 68491",TRACK000025,returned,2023-11-07 13:06:13.444361
26,26,"21705 Shepherd Tunnel Suite 420, Lake Rachaelstad, LA 47109",TRACK000026,delivered,2024-02-09 09:29:42.450959
27,27,"5430 Cruz Loaf, Boyerside, OK 03465",TRACK000027,in_transit,2023-11-11 00:14:51.340703
28,28,"USNS Liu, FPO AP 77511",TRACK000028,delivered,2024-07-17 01:30:08.945764
29,29,"47776 Morris Lodge, North Douglas, MS 55301",TRACK000029,in_transit,2024-07-27 18:30:08.485165
30,30,"7151 Deborah Way Apt. 039, North Lauren, NM 15385",TRACK000030,cancelled,2024-08-11 20:50:17.147006
31,31,"8381 Carter Locks Apt. 745, Smithside, NY 58036",TRACK000031,delivered,2024-05-10 16:23:26.337104
32,32,"452 Louis Canyon, South Megan, AK 22018",TRACK000032,delivered,2024-06-24 00:06:56.699500
33,33,"826 Castro Islands, Millerbury, VI 80217",TRACK000033,processing,2023-11-07 14:56:36.391421
34,34,"02723 Megan Road, Jenniferland, CA 73530",TRACK000034,cancelled,2024-06-06 22:16:11.576591
35,35,"280 Susan Villages, North Jasonport, MH 76158",TRACK000035,delivered,2024-06-07 06:18:31.878385
36,36,"429 Grant Alley, Jasmineville, AZ 02933",TRACK000036,in_transit,2023-12-15 23:10:30.751310
37,37,"Unit 5741 Box 1821, DPO AE 33935",TRACK000037,processing,2024-01-29 18:34:48.700056
38,38,"807 Donna Brook Suite 505, Gibsonbury, PA 92499",TRACK000038,returned,2024-06-23 11:04:26.655203
39,39,"586 Jason Stravenue, Lake Gregory, TN 31324",TRACK000039,delivered,2024-01-04 03:18:31.915575
40,40,"74913 William Pass, Port Megan, WA 03029",TRACK000040,cancelled,2024-06-30 20:27:05.360541
41,41,"52069 Angela Manor, Donaldport, RI 93654",TRACK000041,in_transit,2023-12-03 19:13:55.719121
42,42,"580 Monica Parks, East Michelleport, FL 33730",TRACK000042,in_transit,2024-10-10 16:12:19.296971
43,43,"24091 King Radial, Aaronville, OH 92922",TRACK000043,processing,2024-05-17 06:07:57.767967
44,44,"0713 Ashley Grove Suite 192, Lake Laurabury, KS 08035",TRACK000044,processing,2023-12-01 11:56:16.303556
45,45,"5998 Small Point, Moorestad, WV 41657",TRACK000045,in_transit,2024-01-12 02:33:56.015145
46,46,"333 Carlson Burgs Suite 936, East Angela, WI 59602",TRACK000046,cancelled,2024-09-24 15:31:19.926743
47,47,"USNV Woodard, FPO AA 39151",TRACK000047,in_transit,2024-07-23 23:11:41.528879
48,48,"797 Kristen Viaduct, Hendersonborough, CO 58739",TRACK000048,returned,2024-07-30 16:27:38.625438
49,49,"Unit 4073 Box 3406, DPO AP 29485",TRACK000049,processing,2024-02-23 07:46:17.550571
50,50,"4034 Carter Tunnel, New Kristopherhaven, IN 86092",TRACK000050,cancelled,2024-07-20 00:43:02.973936
51,51,"76307 Steven Grove, Donberg, MP 10156",TRACK000051,cancelled,2024-07-30 13:05:11.962999
52,52,"803 Moyer Brook Apt. 816, North Colleenchester, MT 19370",TRACK000052,processing,2023-12-04 03:33:37.484155
53,53,"9507 Rush Station Suite 132, Hansenbury, NM 14926",TRACK000053,delivered,2024-05-09 12:33:31.625311
54,54,"8971 Doyle Divide, Juanburgh, OK 03352",TRACK000054,in_transit,2024-06-11 08:02:24.414142
55,55,"2093 Linda Expressway Apt. 840, Sawyerbury, LA 54121",TRACK000055,delivered,2024-07-09 17:06:58.033760
56,56,"611 Richardson Extension Suite 755, Jameshaven, IA 36674",TRACK000056,cancelled,2024-07-17 09:47:38.597314
57,57,"376 Hector Knolls, Allenborough, ME 61335",TRACK000057,cancelled,2024-03-01 07:22:28.897151
58,58,"4792 Edwin Cape Apt. 681, Frederickhaven, ME 58329",TRACK000058,processing,2024-06-18 21:09:55.586272
59,59,"441 Baldwin Ways, West Carolyn, NJ 95801",TRACK000059,in_transit,2024-09-11 02:55:10.156787
60,60,"2109 Smith Track Suite 472, Petersonland, ND 13553",TRACK000060,in_transit,2024-01-18 16:14:50.954320
61,61,"0789 Joseph Streets, Blackwellchester, SC 07999",TRACK000061,delivered,2023-11-12 23:58:48.702415
62,62,"77261 Kristin Island, Ibarramouth, FM 46615",TRACK000062,delivered,2024-01-15 16:20:22.627242
63,63,"USNV Smith, FPO AP 84457",TRACK000063,cancelled,2024-01-04 14:28:18.904793
64,64,"764 Scott Throughway, Howardburgh, AL 56210",TRACK000064,delivered,2024-05-06 10:03:54.704341
65,65,"1624 Davidson Drives, South Kimberlyside, IN 94048",TRACK000065,cancelled,2024-05-22 22:20:11.100887
66,66,"985 John Knolls, Mckinneyburgh, SD 26657",TRACK000066,in_transit,2024-04-25 04:24:56.784924
67,67,"294 Walker Point, South Catherine, OR 28703",TRACK000067,in_transit,2024-01-02 14:44:56.062806
68,68,"92314 Simmons Ridge, Amandafort, MS 49447",TRACK000068,delivered,2024-01-06 12:25:37.036598
69,69,"79251 Anna Ranch Suite 934, East Annette, PW 77201",TRACK000069,cancelled,2024-05-27 19:18:50.476704
70,70,"628 Woodard Wall, Carrieland, AS 57438",TRACK000070,cancelled,2024-01-20 20:21:34.730874
71,71,"9526 Frances Gateway Suite 904, West Jenniferside, LA 10480",TRACK000071,in_transit,2024-04-30 07:37:20.023411
72,72,"52532 Howell Glen, Hoffmanport, LA 24805",TRACK000072,delivered,2023-12-19 12:30:15.356658
73,73,"7113 Joshua Ranch, North Cynthia, DC 99147",TRACK000073,cancelled,2024-05-18 23:09:39.645863
74,74,"4333 Byrd Brooks Suite 520, Port William, MH 94729",TRACK000074,processing,2024-01-12 15:33:34.491466
75,75,"582 Bates Cape Suite 913, Port Laura, DC 57792",TRACK000075,returned,2024-06-27 01:22:11.249413
76,76,"078 Walker Bridge, Dawnport, CT 95741",TRACK000076,returned,2024-01-21 01:57:08.263337
77,77,"0492 Kimberly Lane, Port Kimberly, AL 29067",TRACK000077,processing,2024-07-19 07:48:42.514361
78,78,"489 Morales Village, Velazquezmouth, AZ 04215",TRACK000078,processing,2024-04-09 00:40:37.052341
79,79,"PSC 0540, Box 3875, APO AA 81561",TRACK000079,processing,2024-06-24 20:59:19.459489
80,80,"800 Robinson Drive Suite 957, Lake Shawn, AK 57041",TRACK000080,cancelled,2023-11-06 04:08:29.654112
81,81,"0907 Ramos Ways Suite 172, West Karaside, ND 18585",TRACK000081,returned,2024-08-04 00:13:19.684444
82,82,"33980 Palmer Drives, North Jeffreyside, ND 62465",TRACK000082,in_transit,2024-10-08 21:52:11.492470
83,83,"Unit 0853 Box 4344, DPO AE 43429",TRACK000083,delivered,2024-07-24 14:38:52.776672
84,84,"4100 Rebecca Dale, Lake Jeanette, GA 13037",TRACK000084,processing,2023-10-30 10:45:55.427786
85,85,"USCGC Johnson, FPO AE 72802",TRACK000085,delivered,2024-04-11 14:36:18.321470
86,86,"249 Charles Centers Apt. 935, Harrisonview, WA 26976",TRACK000086,processing,2024-04-05 00:16:41.514519
87,87,"602 Nathan Camp, South Stephanie, MH 62834",TRACK000087,in_transit,2024-07-15 15:58:27.419180
88,88,"6099 Kenneth Brooks, Greenemouth, IA 60724",TRACK000088,cancelled,2024-06-04 05:15:50.831747
89,89,"568 Erin Alley Apt. 722, North Donna, CA 24877",TRACK000089,cancelled,2024-10-04 02:19:37.256500
90,90,"91290 Deborah Shore Apt. 058, Shafferville, OK 83321",TRACK000090,returned,2023-12-02 21:22:28.751449
91,91,"Unit 1946 Box 1150, DPO AP 53557",TRACK000091,processing,2024-08-13 13:51:23.047508
92,92,"7035 Susan Mountain Suite 397, Kimberlyfort, IL 93714",TRACK000092,cancelled,2023-12-08 11:54:07.107042
93,93,"22298 Jeanne Corners, Ariasside, GA 31617",TRACK000093,returned,2023-10-20 07:03:30.382691
94,94,"178 Kim Vista Apt. 649, Brandonfurt, PR 82261",TRACK000094,returned,2024-05-27 10:56:56.886541
95,95,"85734 Catherine Drive, West Raymondside, AR 61724",TRACK000095,delivered,2024-09-08 23:58:46.270293
96,96,"62737 Jennifer Pike Apt. 431, Adrienneview, CA 69388",TRACK000096,returned,2024-02-19 17:07:50.670311
97,97,"USCGC Sanders, FPO AA 35206",TRACK000097,processing,2024-05-06 04:15:09.458770
98,98,"4407 Erica Stravenue, Novakfort, IL 32589",TRACK000098,in_transit,2024-07-08 12:24:10.660679
99,99,"Unit 7428 Box 7835, DPO AE 44121",TRACK000099,in_transit,2024-09-26 14:17:03.289978
100,100,"7760 Patton Garden Suite 999, Fullerburgh, NC 05245",TRACK000100,in_transit,2024-10-05 06:16:15.232659
101,101,"694 Taylor Pass, West Ericaville, MT 34741",TRACK000101,cancelled,2024-04-12 08:43:18.522375
102,102,"872 Lorraine Ramp, Lake Larry, GU 87320",TRACK000102,processing,2023-10-22 08:27:15.542279
103,103,"PSC 3018, Box 6502, APO AP 99801",TRACK000103,delivered,2023-12-25 21:32:42.584567
104,104,"PSC 8854, Box 1990, APO AP 45842",TRACK000104,processing,2024-06-02 11:01:44.449003
105,105,"2173 Rebecca Cape, Lake Robert, NH 95899",TRACK000105,processing,2024-02-21 02:12:49.012903
106,106,"4397 Barbara Crossroad, Port Alex, MA 58355",TRACK000106,returned,2024-08-06 05:50:43.616913
107,107,"4036 Jones Island Apt. 691, Lake Jamesshire, TX 34524",TRACK000107,cancelled,2024-08-14 06:41:59.128962
108,108,"2899 Collins Wall Apt. 383, West Teresaside, GA 91478",TRACK000108,in_transit,2024-07-09 18:40:04.587262
109,109,"8546 Darren Wells Suite 886, North Mindyton, NE 59585",TRACK000109,cancelled,2024-09-22 13:48:39.976370
110,110,"10986 Ashley Fields Apt. 042, East Denise, IN 64264",TRACK000110,in_transit,2023-11-08 15:28:42.619925
111,111,"USNV Simmons, FPO AE 63654",TRACK000111,processing,2023-11-12 00:41:58.625947
112,112,"1886 Livingston Shores, Kimberlyhaven, MD 42303",TRACK000112,in_transit,2024-06-01 13:13:03.926900
113,113,"8785 Rhonda Run Suite 182, North Steven, CT 98670",TRACK000113,processing,2024-02-25 21:44:57.655265
114,114,"44141 Savannah Cove, Jaredview, MA 50722",TRACK000114,delivered,2024-06-19 04:04:53.123372
115,115,"47987 Wilson Club Suite 822, Lake Donnamouth, UT 44976",TRACK000115,returned,2024-04-08 18:01:30.948688
116,116,"8816 Scott Mountains Suite 923, Lake Emmastad, KY 49121",TRACK000116,in_transit,2024-09-09 09:11:24.942910
117,117,"3794 Alison Ports Apt. 617, Cruzside, FM 73866",TRACK000117,delivered,2024-04-26 23:41:49.545355
118,118,"876 Bowman Pine Apt. 392, Port Kennethside, ID 74412",TRACK000118,processing,2024-09-12 16:44:26.540221
119,119,"USNV Harrison, FPO AP 64459",TRACK000119,cancelled,2023-11-10 13:10:32.283406
120,120,"81861 Hall Land, New Michael, AK 83794",TRACK000120,in_transit,2024-05-06 23:45:56.584652
121,121,"0142 Mark Roads Suite 293, Port Coryville, VI 84707",TRACK000121,in_transit,2024-01-25 18:52:19.411989
122,122,"000 Michael Parks, South Jeanview, KY 95264",TRACK000122,returned,2024-09-23 18:51:45.778430
123,123,"284 Jose Lane Suite 388, Lake Davidberg, NM 86213",TRACK000123,in_transit,2023-12-07 07:41:58.630247
124,124,"USNV Jones, FPO AE 95193",TRACK000124,processing,2024-08-13 14:47:59.913101
125,125,"0611 Chavez Shores Apt. 478, New Victoria, WY 75170",TRACK000125,delivered,2023-12-31 04:47:31.664181
126,126,"0332 Erin Green, Turnerhaven, TX 61093",TRACK000126,returned,2024-03-03 04:28:16.204030
127,127,"22328 Obrien Park Apt. 292, Carolton, ME 53942",TRACK000127,delivered,2024-07-14 19:51:23.449229
128,128,"285 Brandon Groves Apt. 283, Brownfurt, PA 36192",TRACK000128,delivered,2024-09-14 00:25:30.576620
129,129,"47490 Dunn Centers Suite 714, Port William, NM 41952",TRACK000129,returned,2023-11-08 13:25:09.335287
130,130,"4656 Stephen Mount, Hurstchester, TN 80926",TRACK000130,processing,2023-11-27 12:59:29.579113
131,131,"6906 Riley Islands, Aguilartown, DC 00563",TRACK000131,delivered,2024-05-08 04:47:29.279799
132,132,"20719 Craig Pass, Markton, KS 28735",TRACK000132,delivered,2024-02-12 17:08:49.941717
133,133,"94176 Romero Rue Suite 867, Cynthiastad, NH 32055",TRACK000133,cancelled,2024-09-12 22:58:42.223768
